"cohort_start_date","dose","n_dose","n"
2021-12-04,"2 dose",109,116
2021-12-05,"2 dose",77,92
2021-12-05,"3 dose",3,92
2021-12-05,"1 dose",12,92
2021-12-06,"1 dose",3,104
2021-12-06,"2 dose",98,104
2021-12-06,"3 dose",3,104
2021-12-07,"1 dose",6,109
2021-12-07,"2 dose",101,109
2021-12-07,"3 dose",2,109
2021-12-08,"2 dose",109,119
2021-12-08,"3 dose",3,119
2021-12-08,"1 dose",7,119
2021-12-09,"1 dose",6,125
2021-12-09,"2 dose",115,125
2021-12-09,"3 dose",4,125
2021-12-10,"1 dose",8,108
2021-12-10,"3 dose",2,108
2021-12-10,"2 dose",98,108
2021-12-11,"2 dose",120,126
2021-12-11,"1 dose",6,126
2021-12-12,"1 dose",8,104
2021-12-12,"3 dose",6,104
2021-12-12,"2 dose",90,104
2021-12-13,"2 dose",118,134
2021-12-13,"3 dose",5,134
2021-12-13,"1 dose",11,134
2021-12-14,"1 dose",9,170
2021-12-14,"2 dose",157,170
2021-12-14,"3 dose",4,170
2021-12-15,"2 dose",174,195
2021-12-15,"1 dose",17,195
2021-12-15,"3 dose",4,195
2021-12-16,"3 dose",4,191
2021-12-16,"1 dose",10,191
2021-12-16,"2 dose",177,191
2021-12-17,"3 dose",16,202
2021-12-17,"2 dose",176,202
2021-12-17,"1 dose",10,202
2021-12-18,"2 dose",163,173
2021-12-18,"1 dose",8,173
2021-12-18,"3 dose",2,173
2021-12-19,"2 dose",175,187
2021-12-19,"1 dose",8,187
2021-12-19,"3 dose",4,187
2021-12-20,"2 dose",205,219
2021-12-20,"1 dose",10,219
2021-12-20,"3 dose",4,219
2021-12-21,"2 dose",217,226
2021-12-21,"3 dose",2,226
2021-12-21,"1 dose",7,226
2021-12-22,"2 dose",247,269
2021-12-22,"3 dose",8,269
2021-12-22,"1 dose",14,269
2021-12-23,"2 dose",188,206
2021-12-23,"3 dose",8,206
2021-12-23,"1 dose",10,206
2021-12-24,"1 dose",3,47
2021-12-24,"2 dose",44,47
2021-12-27,"1 dose",4,96
2021-12-27,"3 dose",3,96
2021-12-27,"2 dose",89,96
2021-12-28,"1 dose",11,130
2021-12-28,"2 dose",117,130
2021-12-28,"3 dose",2,130
2021-12-29,"1 dose",8,128
2021-12-29,"2 dose",113,128
2021-12-29,"3 dose",7,128
2021-12-30,"2 dose",145,158
2021-12-30,"1 dose",6,158
2021-12-30,"3 dose",7,158
2021-12-31,"2 dose",38,43
2021-12-31,"3 dose",2,43
2021-12-31,"1 dose",3,43
2022-01-02,"2 dose",7,8
2022-01-02,"1 dose",1,8
2022-01-03,"2 dose",53,62
2022-01-03,"1 dose",8,62
2022-01-03,"3 dose",1,62
2022-01-04,"3 dose",3,89
2022-01-04,"2 dose",78,89
2022-01-04,"1 dose",8,89
2022-01-05,"3 dose",5,109
2022-01-05,"2 dose",92,109
2022-01-05,"1 dose",12,109
2022-01-06,"3 dose",2,79
2022-01-06,"1 dose",6,79
2022-01-06,"2 dose",71,79
2022-01-07,"2 dose",66,78
2022-01-07,"1 dose",6,78
2022-01-07,"3 dose",6,78
2022-01-08,"3 dose",1,56
2022-01-08,"2 dose",48,56
2022-01-08,"1 dose",7,56
2022-01-09,"2 dose",45,50
2022-01-09,"3 dose",2,50
2022-01-09,"1 dose",3,50
2022-01-10,"2 dose",53,68
2022-01-10,"3 dose",8,68
2022-01-10,"1 dose",7,68
2022-01-11,"3 dose",5,65
2022-01-11,"1 dose",1,65
2022-01-11,"2 dose",59,65
2022-01-12,"3 dose",5,53
2022-01-12,"2 dose",44,53
2022-01-12,"1 dose",4,53
2022-01-13,"1 dose",6,41
2022-01-13,"2 dose",28,41
2022-01-13,"3 dose",7,41
2022-01-14,"2 dose",34,40
2022-01-14,"1 dose",4,40
2022-01-14,"3 dose",2,40
2022-01-15,"2 dose",36,36
2022-01-16,"1 dose",5,34
2022-01-16,"2 dose",28,34
2022-01-16,"3 dose",1,34
2022-01-17,"1 dose",5,34
2022-01-17,"2 dose",19,34
2022-01-17,"3 dose",10,34
2022-01-18,"1 dose",3,28
2022-01-18,"3 dose",1,28
2022-01-18,"2 dose",24,28
2022-01-19,"1 dose",2,20
2022-01-19,"2 dose",17,20
2022-01-19,"3 dose",1,20
2022-01-20,"1 dose",5,25
2022-01-20,"3 dose",2,25
2022-01-20,"2 dose",18,25
2022-01-21,"3 dose",4,34
2022-01-21,"1 dose",6,34
2022-01-21,"2 dose",24,34
2022-01-22,"1 dose",10,24
2022-01-22,"2 dose",13,24
2022-01-22,"3 dose",1,24
2022-01-23,"2 dose",23,29
2022-01-23,"3 dose",1,29
2022-01-23,"1 dose",5,29
2022-01-24,"2 dose",17,28
2022-01-24,"1 dose",5,28
2022-01-24,"3 dose",6,28
2022-01-25,"2 dose",18,24
2022-01-25,"3 dose",3,24
2022-01-25,"1 dose",3,24
2022-01-26,"3 dose",3,26
2022-01-26,"1 dose",4,26
2022-01-26,"2 dose",19,26
2022-01-27,"2 dose",12,14
2022-01-27,"1 dose",2,14
2022-01-28,"1 dose",4,21
2022-01-28,"2 dose",14,21
2022-01-28,"3 dose",3,21
2022-01-29,"2 dose",14,23
2022-01-29,"3 dose",2,23
2022-01-29,"1 dose",7,23
2022-01-30,"2 dose",14,20
2022-01-30,"1 dose",6,20
2022-01-31,"3 dose",2,23
2022-01-31,"1 dose",2,23
2022-01-31,"2 dose",19,23
2022-02-01,"3 dose",5,29
2022-02-01,"2 dose",19,29
2022-02-01,"1 dose",5,29
2022-02-02,"3 dose",8,32
2022-02-02,"2 dose",15,32
2022-02-02,"1 dose",9,32
2022-02-03,"2 dose",15,20
2022-02-03,"4 dose",1,20
2022-02-03,"1 dose",2,20
2022-02-03,"3 dose",2,20
2022-02-04,"2 dose",11,16
2022-02-04,"3 dose",1,16
2022-02-04,"1 dose",4,16
2022-02-05,"3 dose",3,18
2022-02-05,"1 dose",6,18
2022-02-05,"2 dose",9,18
2022-02-06,"1 dose",2,10
2022-02-06,"2 dose",7,10
2022-02-06,"3 dose",1,10
2022-02-07,"1 dose",2,12
2022-02-07,"2 dose",8,12
2022-02-07,"3 dose",2,12
2022-02-08,"2 dose",15,22
2022-02-08,"1 dose",4,22
2022-02-08,"3 dose",3,22
2022-02-09,"1 dose",1,12
2022-02-09,"3 dose",3,12
2022-02-09,"2 dose",8,12
2022-02-10,"3 dose",3,12
2022-02-10,"2 dose",7,12
2022-02-10,"1 dose",2,12
2022-02-11,"3 dose",3,25
2022-02-11,"2 dose",22,25
2022-02-12,"1 dose",3,23
2022-02-12,"3 dose",1,23
2022-02-12,"2 dose",19,23
2022-02-13,"2 dose",10,14
2022-02-13,"1 dose",3,14
2022-02-13,"3 dose",1,14
2022-02-14,"1 dose",1,12
2022-02-14,"3 dose",2,12
2022-02-14,"2 dose",9,12
2022-02-15,"1 dose",2,26
2022-02-15,"3 dose",5,26
2022-02-15,"2 dose",19,26
2022-02-16,"2 dose",5,10
2022-02-16,"4 dose",1,10
2022-02-16,"1 dose",4,10
2022-02-17,"2 dose",12,17
2022-02-17,"3 dose",3,17
2022-02-17,"1 dose",2,17
